news_type,sentence_to_search
Regulation & Government Policy,cryptocurrency regulation news
Regulation & Government Policy,crypto legislation government policy
Regulation & Government Policy,crypto ban or restriction country
Regulation & Government Policy,crypto SEC lawsuit news
Regulation & Government Policy,global crypto regulation updates
Macro & Monetary Policy,crypto market impact interest rates
Macro & Monetary Policy,cryptocurrency inflation hedge news
Macro & Monetary Policy,crypto macroeconomic news
Macro & Monetary Policy,crypto monetary policy impact
Macro & Monetary Policy,digital assets safe haven demand
Institutional Adoption & Partnerships,institutional adoption cryptocurrency
Institutional Adoption & Partnerships,crypto partnerships banks companies
Institutional Adoption & Partnerships,corporate adoption blockchain payments
Institutional Adoption & Partnerships,crypto custody institutional news
Institutional Adoption & Partnerships,financial institutions entering crypto
Security Incidents & Hacks,cryptocurrency exchange hack latest
Security Incidents & Hacks,crypto exploit DeFi bridge security
Security Incidents & Hacks,crypto funds stolen attack
Security Incidents & Hacks,crypto scam fraud rug pull
Security Incidents & Hacks,digital asset cybersecurity incident
Market & Ecosystem Developments,cryptocurrency network upgrade news
Market & Ecosystem Developments,crypto hard fork or token burn
Market & Ecosystem Developments,blockchain ecosystem adoption trends
Market & Ecosystem Developments,crypto scaling solutions news
Market & Ecosystem Developments,crypto emerging narratives 2025
